"";"region";"AgeGrp_min";"AgeGrp_max";"NUTS";"date";"Year";"WeekNo";"male_covid_death";"female_covid_death";"NC_covid_death";"total_covid_death";"country";"type"
"66";"Schleswig-Holstein";"35";"59";"Germany";"2021/02/02";"2021";"05";0;0;0;0;"Germany";"AgeGender"
"67";"Schleswig-Holstein";"15";"34";"Germany";"2021/02/02";"2021";"05";0;0;0;0;"Germany";"AgeGender"
"68";"Schleswig-Holstein";"5";"14";"Germany";"2021/02/02";"2021";"05";0;0;0;0;"Germany";"AgeGender"
"69";"Schleswig-Holstein";NA;NA;"Germany";"2021/02/02";"2021";"05";0;0;0;0;"Germany";"AgeGender"
"70";"Schleswig-Holstein";"0";"4";"Germany";"2021/02/02";"2021";"05";0;0;0;0;"Germany";"AgeGender"
"71";"Schleswig-Holstein";"60";"79";"Germany";"2021/02/14";"2021";"06";0;0;0;0;"Germany";"AgeGender"
"72";"Schleswig-Holstein";"80";NA;"Germany";"2021/02/14";"2021";"06";1;1;0;2;"Germany";"AgeGender"
"73";"Schleswig-Holstein";"35";"59";"Germany";"2021/02/14";"2021";"06";0;0;0;0;"Germany";"AgeGender"
"74";"Schleswig-Holstein";"15";"34";"Germany";"2021/02/14";"2021";"06";0;0;0;0;"Germany";"AgeGender"
"75";"Schleswig-Holstein";"5";"14";"Germany";"2021/02/14";"2021";"06";0;0;0;0;"Germany";"AgeGender"
"76";"Schleswig-Holstein";NA;NA;"Germany";"2021/02/14";"2021";"06";0;0;0;0;"Germany";"AgeGender"
"77";"Schleswig-Holstein";"0";"4";"Germany";"2021/02/14";"2021";"06";0;0;0;0;"Germany";"AgeGender"
"78";"Schleswig-Holstein";"60";"79";"Germany";"2021/02/16";"2021";"07";0;0;0;0;"Germany";"AgeGender"
"79";"Schleswig-Holstein";"80";NA;"Germany";"2021/02/16";"2021";"07";2;1;0;3;"Germany";"AgeGender"
"80";"Schleswig-Holstein";"35";"59";"Germany";"2021/02/16";"2021";"07";0;0;0;0;"Germany";"AgeGender"
"81";"Schleswig-Holstein";"15";"34";"Germany";"2021/02/16";"2021";"07";0;0;0;0;"Germany";"AgeGender"
"82";"Schleswig-Holstein";"5";"14";"Germany";"2021/02/16";"2021";"07";0;0;0;0;"Germany";"AgeGender"
"83";"Schleswig-Holstein";NA;NA;"Germany";"2021/02/16";"2021";"07";0;0;0;0;"Germany";"AgeGender"
"84";"Schleswig-Holstein";"0";"4";"Germany";"2021/02/16";"2021";"07";0;0;0;0;"Germany";"AgeGender"
"85";"Schleswig-Holstein";"60";"79";"Germany";"2020/11/22";"2020";"47";0;0;0;0;"Germany";"AgeGender"
"86";"Schleswig-Holstein";"80";NA;"Germany";"2020/11/22";"2020";"47";0;1;0;1;"Germany";"AgeGender"
"87";"Schleswig-Holstein";"35";"59";"Germany";"2020/11/22";"2020";"47";0;0;0;0;"Germany";"AgeGender"
"88";"Schleswig-Holstein";"15";"34";"Germany";"2020/11/22";"2020";"47";0;0;0;0;"Germany";"AgeGender"
"89";"Schleswig-Holstein";"5";"14";"Germany";"2020/11/22";"2020";"47";0;0;0;0;"Germany";"AgeGender"
"90";"Schleswig-Holstein";NA;NA;"Germany";"2020/11/22";"2020";"47";0;0;0;0;"Germany";"AgeGender"
"91";"Schleswig-Holstein";"0";"4";"Germany";"2020/11/22";"2020";"47";0;0;0;0;"Germany";"AgeGender"
"92";"Schleswig-Holstein";"60";"79";"Germany";"2020/12/29";"2020";"53";6;4;0;10;"Germany";"AgeGender"
"93";"Schleswig-Holstein";"80";NA;"Germany";"2020/12/29";"2020";"53";7;19;0;26;"Germany";"AgeGender"
"94";"Schleswig-Holstein";"35";"59";"Germany";"2020/12/29";"2020";"53";1;0;0;1;"Germany";"AgeGender"
"95";"Schleswig-Holstein";"15";"34";"Germany";"2020/12/29";"2020";"53";0;0;0;0;"Germany";"AgeGender"
"96";"Schleswig-Holstein";"5";"14";"Germany";"2020/12/29";"2020";"53";0;0;0;0;"Germany";"AgeGender"
"97";"Schleswig-Holstein";NA;NA;"Germany";"2020/12/29";"2020";"53";0;0;0;0;"Germany";"AgeGender"
"98";"Schleswig-Holstein";"0";"4";"Germany";"2020/12/29";"2020";"53";0;0;0;0;"Germany";"AgeGender"
"99";"Schleswig-Holstein";"60";"79";"Germany";"2021/01/21";"2021";"03";1;2;0;3;"Germany";"AgeGender"
"100";"Schleswig-Holstein";"80";NA;"Germany";"2021/01/21";"2021";"03";7;11;0;18;"Germany";"AgeGender"
"101";"Schleswig-Holstein";"35";"59";"Germany";"2021/01/21";"2021";"03";0;1;0;1;"Germany";"AgeGender"
"102";"Schleswig-Holstein";"15";"34";"Germany";"2021/01/21";"2021";"03";0;0;0;0;"Germany";"AgeGender"
"103";"Schleswig-Holstein";"5";"14";"Germany";"2021/01/21";"2021";"03";0;0;0;0;"Germany";"AgeGender"
"104";"Schleswig-Holstein";NA;NA;"Germany";"2021/01/21";"2021";"03";0;0;0;0;"Germany";"AgeGender"
"105";"Schleswig-Holstein";"0";"4";"Germany";"2021/01/21";"2021";"03";0;0;0;0;"Germany";"AgeGender"
"106";"Schleswig-Holstein";"60";"79";"Germany";"2020/03/24";"2020";"13";2;0;0;2;"Germany";"AgeGender"
"107";"Schleswig-Holstein";"80";NA;"Germany";"2020/03/24";"2020";"13";1;0;0;1;"Germany";"AgeGender"
"108";"Schleswig-Holstein";"35";"59";"Germany";"2020/03/24";"2020";"13";1;0;0;1;"Germany";"AgeGender"
"109";"Schleswig-Holstein";"15";"34";"Germany";"2020/03/24";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"110";"Schleswig-Holstein";"5";"14";"Germany";"2020/03/24";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"111";"Schleswig-Holstein";NA;NA;"Germany";"2020/03/24";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"112";"Schleswig-Holstein";"0";"4";"Germany";"2020/03/24";"2020";"13";0;0;0;0;"Germany";"AgeGender"
"113";"Schleswig-Holstein";"60";"79";"Germany";"2020/04/10";"2020";"15";1;0;0;1;"Germany";"AgeGender"
"114";"Schleswig-Holstein";"80";NA;"Germany";"2020/04/10";"2020";"15";0;0;0;0;"Germany";"AgeGender"
"115";"Schleswig-Holstein";"35";"59";"Germany";"2020/04/10";"2020";"15";0;0;0;0;"Germany";"AgeGender"
"116";"Schleswig-Holstein";"15";"34";"Germany";"2020/04/10";"2020";"15";0;0;0;0;"Germany";"AgeGender"
"117";"Schleswig-Holstein";"5";"14";"Germany";"2020/04/10";"2020";"15";0;0;0;0;"Germany";"AgeGender"
"118";"Schleswig-Holstein";NA;NA;"Germany";"2020/04/10";"2020";"15";0;0;0;0;"Germany";"AgeGender"
"119";"Schleswig-Holstein";"0";"4";"Germany";"2020/04/10";"2020";"15";0;0;0;0;"Germany";"AgeGender"
"120";"Schleswig-Holstein";"60";"79";"Germany";"2020/12/12";"2020";"50";1;0;0;1;"Germany";"AgeGender"
"121";"Schleswig-Holstein";"80";NA;"Germany";"2020/12/12";"2020";"50";4;1;0;5;"Germany";"AgeGender"
