"";"date";"Year";"WeekNo";"total_covid_death";"male_covid_death";"female_covid_death";"NC_covid_death";"country";"Type"
"125";"2020-04-03";"2020";"14";"57";"31";"26";"0";"Switzerland";"Gender"
"126";"2021-01-05";"2021";"01";"64";"39";"25";"0";"Switzerland";"Gender"
"127";"2020-11-22";"2020";"47";"81";"43";"38";"0";"Switzerland";"Gender"
"128";"2020-11-28";"2020";"48";"88";"53";"35";"0";"Switzerland";"Gender"
"129";"2020-11-15";"2020";"46";"86";"43";"43";"0";"Switzerland";"Gender"
"130";"2020-11-11";"2020";"46";"89";"52";"37";"0";"Switzerland";"Gender"
"131";"2021-01-27";"2021";"04";"33";"14";"19";"0";"Switzerland";"Gender"
"132";"2021-01-11";"2021";"02";"57";"34";"23";"0";"Switzerland";"Gender"
"133";"2020-12-03";"2020";"49";"80";"50";"30";"0";"Switzerland";"Gender"
"134";"2020-12-21";"2020";"52";"88";"44";"44";"0";"Switzerland";"Gender"
"135";"2020-04-01";"2020";"14";"57";"32";"25";"0";"Switzerland";"Gender"
"136";"2020-04-02";"2020";"14";"60";"41";"19";"0";"Switzerland";"Gender"
"137";"2020-10-22";"2020";"43";"25";"12";"13";"0";"Switzerland";"Gender"
"138";"2021-02-13";"2021";"06";"17";"10";"7";"0";"Switzerland";"Gender"
"139";"2020-07-08";"2020";"28";"2";"1";"1";"0";"Switzerland";"Gender"
"140";"2020-11-18";"2020";"47";"104";"54";"50";"0";"Switzerland";"Gender"
"141";"2020-12-12";"2020";"50";"84";"42";"42";"0";"Switzerland";"Gender"
"142";"2020-11-10";"2020";"46";"83";"47";"36";"0";"Switzerland";"Gender"
"143";"2021-02-01";"2021";"05";"30";"15";"15";"0";"Switzerland";"Gender"
"144";"2021-02-10";"2021";"06";"21";"14";"7";"0";"Switzerland";"Gender"
"145";"2021-03-14";"2021";"10";"8";"5";"3";"0";"Switzerland";"Gender"
"146";"2021-03-02";"2021";"09";"9";"6";"3";"0";"Switzerland";"Gender"
"147";"2021-01-12";"2021";"02";"54";"28";"26";"0";"Switzerland";"Gender"
"148";"2020-04-09";"2020";"15";"45";"23";"22";"0";"Switzerland";"Gender"
"149";"2021-01-09";"2021";"01";"67";"39";"28";"0";"Switzerland";"Gender"
"150";"2021-03-23";"2021";"12";"12";"6";"6";"0";"Switzerland";"Gender"
"151";"2020-05-07";"2020";"19";"12";"7";"5";"0";"Switzerland";"Gender"
"152";"2020-12-10";"2020";"50";"84";"41";"43";"0";"Switzerland";"Gender"
"153";"2020-10-18";"2020";"42";"7";"4";"3";"0";"Switzerland";"Gender"
"154";"2020-04-29";"2020";"18";"11";"6";"5";"0";"Switzerland";"Gender"
"155";"2020-04-19";"2020";"16";"21";"9";"12";"0";"Switzerland";"Gender"
"156";"2021-01-25";"2021";"04";"30";"19";"11";"0";"Switzerland";"Gender"
"157";"2020-04-28";"2020";"18";"12";"6";"6";"0";"Switzerland";"Gender"
"158";"2021-01-06";"2021";"01";"59";"37";"22";"0";"Switzerland";"Gender"
"159";"2020-12-07";"2020";"50";"79";"35";"44";"0";"Switzerland";"Gender"
"160";"2020-04-11";"2020";"15";"45";"26";"19";"0";"Switzerland";"Gender"
"161";"2020-10-23";"2020";"43";"25";"13";"12";"0";"Switzerland";"Gender"
"162";"2021-02-20";"2021";"07";"14";"7";"7";"0";"Switzerland";"Gender"
"163";"2021-02-08";"2021";"06";"19";"12";"7";"0";"Switzerland";"Gender"
"164";"2020-04-12";"2020";"15";"36";"15";"21";"0";"Switzerland";"Gender"
"165";"2020-04-21";"2020";"17";"33";"22";"11";"0";"Switzerland";"Gender"
"166";"2021-02-09";"2021";"06";"15";"9";"6";"0";"Switzerland";"Gender"
"167";"2020-10-28";"2020";"44";"42";"25";"17";"0";"Switzerland";"Gender"
"168";"2021-03-22";"2021";"12";"3";"1";"2";"0";"Switzerland";"Gender"
"169";"2021-03-09";"2021";"10";"9";"4";"5";"0";"Switzerland";"Gender"
"170";"2020-04-20";"2020";"17";"38";"20";"18";"0";"Switzerland";"Gender"
"171";"2021-02-21";"2021";"07";"11";"6";"5";"0";"Switzerland";"Gender"
"172";"2020-12-25";"2020";"52";"67";"39";"28";"0";"Switzerland";"Gender"
"173";"2020-04-27";"2020";"18";"23";"14";"9";"0";"Switzerland";"Gender"
"174";"2021-01-23";"2021";"03";"44";"24";"20";"0";"Switzerland";"Gender"
"175";"2020-10-15";"2020";"42";"5";"3";"2";"0";"Switzerland";"Gender"
"176";"2020-09-05";"2020";"36";"2";"1";"1";"0";"Switzerland";"Gender"
"177";"2021-01-24";"2021";"03";"47";"20";"27";"0";"Switzerland";"Gender"
"178";"2021-03-07";"2021";"09";"7";"4";"3";"0";"Switzerland";"Gender"
"179";"2020-05-08";"2020";"19";"7";"4";"3";"0";"Switzerland";"Gender"
"180";"2020-08-27";"2020";"35";"2";"1";"1";"0";"Switzerland";"Gender"
"181";"2020-09-17";"2020";"38";"4";"2";"2";"0";"Switzerland";"Gender"
"182";"2021-01-29";"2021";"04";"32";"18";"14";"0";"Switzerland";"Gender"
"183";"2021-02-03";"2021";"05";"19";"9";"10";"0";"Switzerland";"Gender"
"184";"2020-05-25";"2020";"22";"2";"1";"1";"0";"Switzerland";"Gender"
"185";"2020-08-17";"2020";"34";"1";"0";"1";"0";"Switzerland";"Gender"
"186";"2021-03-19";"2021";"11";"8";"4";"4";"0";"Switzerland";"Gender"
"187";"2021-03-20";"2021";"11";"4";"3";"1";"0";"Switzerland";"Gender"
"188";"2021-03-08";"2021";"10";"10";"7";"3";"0";"Switzerland";"Gender"
"189";"2021-01-21";"2021";"03";"42";"21";"21";"0";"Switzerland";"Gender"
"190";"2020-10-17";"2020";"42";"7";"3";"4";"0";"Switzerland";"Gender"
"191";"2021-02-24";"2021";"08";"7";"3";"4";"0";"Switzerland";"Gender"
"192";"2021-03-05";"2021";"09";"7";"3";"4";"0";"Switzerland";"Gender"
"193";"2020-05-12";"2020";"20";"1";"1";"0";"0";"Switzerland";"Gender"
"194";"2021-02-15";"2021";"07";"18";"7";"11";"0";"Switzerland";"Gender"
"195";"2020-03-27";"2020";"13";"32";"18";"14";"0";"Switzerland";"Gender"
"196";"2020-03-22";"2020";"12";"18";"9";"9";"0";"Switzerland";"Gender"
"197";"2020-10-26";"2020";"44";"20";"9";"11";"0";"Switzerland";"Gender"
"198";"2021-02-12";"2021";"06";"16";"6";"10";"0";"Switzerland";"Gender"
"199";"2020-03-23";"2020";"13";"23";"11";"12";"0";"Switzerland";"Gender"
"200";"2020-09-29";"2020";"40";"1";"0";"1";"0";"Switzerland";"Gender"
"201";"2020-09-11";"2020";"37";"4";"3";"1";"0";"Switzerland";"Gender"
"202";"2021-02-28";"2021";"08";"6";"3";"3";"0";"Switzerland";"Gender"
"203";"2020-04-17";"2020";"16";"36";"17";"19";"0";"Switzerland";"Gender"
"204";"2021-03-17";"2021";"11";"13";"6";"7";"0";"Switzerland";"Gender"
"205";"2021-03-25";"2021";"12";"7";"5";"2";"0";"Switzerland";"Gender"
"206";"2020-09-02";"2020";"36";"3";"2";"1";"0";"Switzerland";"Gender"
"207";"2020-10-13";"2020";"42";"6";"4";"2";"0";"Switzerland";"Gender"
"208";"2021-03-16";"2021";"11";"10";"3";"7";"0";"Switzerland";"Gender"
"209";"2020-03-18";"2020";"12";"8";"4";"4";"0";"Switzerland";"Gender"
"210";"2020-05-02";"2020";"18";"9";"5";"4";"0";"Switzerland";"Gender"
"211";"2020-05-04";"2020";"19";"9";"3";"6";"0";"Switzerland";"Gender"
"212";"2020-10-11";"2020";"41";"3";"3";"0";"0";"Switzerland";"Gender"
"213";"2020-10-14";"2020";"42";"5";"3";"2";"0";"Switzerland";"Gender"
"214";"2021-02-19";"2021";"07";"11";"5";"6";"0";"Switzerland";"Gender"
"215";"2021-02-23";"2021";"08";"10";"6";"4";"0";"Switzerland";"Gender"
"216";"2020-09-26";"2020";"39";"2";"2";"0";"0";"Switzerland";"Gender"
"217";"2020-05-16";"2020";"20";"1";"1";"0";"0";"Switzerland";"Gender"
"218";"2021-02-27";"2021";"08";"9";"7";"2";"0";"Switzerland";"Gender"
"219";"2020-07-28";"2020";"31";"1";"0";"1";"0";"Switzerland";"Gender"
"220";"2020-10-19";"2020";"43";"16";"12";"4";"0";"Switzerland";"Gender"
"221";"2021-03-03";"2021";"09";"7";"4";"3";"0";"Switzerland";"Gender"
"222";"2020-09-21";"2020";"39";"3";"3";"0";"0";"Switzerland";"Gender"
"223";"2020-03-05";"2020";"10";"2";"1";"1";"0";"Switzerland";"Gender"
"224";"2021-03-06";"2021";"09";"8";"5";"3";"0";"Switzerland";"Gender"
"225";"2020-10-01";"2020";"40";"5";"1";"4";"0";"Switzerland";"Gender"
"226";"2020-09-16";"2020";"38";"5";"1";"4";"0";"Switzerland";"Gender"
"227";"2020-09-08";"2020";"37";"1";"1";"0";"0";"Switzerland";"Gender"
"228";"2020-09-01";"2020";"36";"1";"0";"1";"0";"Switzerland";"Gender"
"229";"2021-03-11";"2021";"10";"11";"5";"6";"0";"Switzerland";"Gender"
"230";"2020-03-16";"2020";"12";"7";"6";"1";"0";"Switzerland";"Gender"
"231";"2021-02-25";"2021";"08";"9";"5";"4";"0";"Switzerland";"Gender"
"232";"2020-03-14";"2020";"11";"5";"3";"2";"0";"Switzerland";"Gender"
