"";"AgeGrp_min";"AgeGrp_max";"NUTS";"date";"Year";"WeekNo";"male_covid_death";"female_covid_death";"NC_covid_death";"total_covid_death";"country";"type"
"149";"65";"74";"Belgium";"2020-03-31";"2020";"14";16;8;0;24;"Belgium";"AgeGender"
"150";"75";"84";"Belgium";"2020-03-31";"2020";"14";39;30;0;69;"Belgium";"AgeGender"
"151";"25";"44";"Belgium";"2020-03-31";"2020";"14";1;0;0;1;"Belgium";"AgeGender"
"152";"45";"64";"Belgium";"2020-03-31";"2020";"14";7;5;0;12;"Belgium";"AgeGender"
"153";"0";"24";"Belgium";"2020-03-31";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"154";NA;NA;"Belgium";"2020-03-31";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"155";"80";NA;"Belgium";"2020-04-01";"2020";"14";61;61;0;122;"Belgium";"AgeGender"
"156";"65";"74";"Belgium";"2020-04-01";"2020";"14";12;9;0;21;"Belgium";"AgeGender"
"157";"75";"84";"Belgium";"2020-04-01";"2020";"14";37;37;0;74;"Belgium";"AgeGender"
"158";"25";"44";"Belgium";"2020-04-01";"2020";"14";1;0;0;1;"Belgium";"AgeGender"
"159";"45";"64";"Belgium";"2020-04-01";"2020";"14";10;5;0;15;"Belgium";"AgeGender"
"160";"0";"24";"Belgium";"2020-04-01";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"161";NA;NA;"Belgium";"2020-04-01";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"162";"80";NA;"Belgium";"2020-04-02";"2020";"14";52;57;0;109;"Belgium";"AgeGender"
"163";"65";"74";"Belgium";"2020-04-02";"2020";"14";26;14;0;40;"Belgium";"AgeGender"
"164";"75";"84";"Belgium";"2020-04-02";"2020";"14";27;30;0;57;"Belgium";"AgeGender"
"165";"25";"44";"Belgium";"2020-04-02";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"166";"45";"64";"Belgium";"2020-04-02";"2020";"14";8;5;0;13;"Belgium";"AgeGender"
"167";"0";"24";"Belgium";"2020-04-02";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"168";NA;NA;"Belgium";"2020-04-02";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"169";"80";NA;"Belgium";"2020-04-03";"2020";"14";56;69;0;125;"Belgium";"AgeGender"
"170";"65";"74";"Belgium";"2020-04-03";"2020";"14";17;10;0;27;"Belgium";"AgeGender"
"171";"75";"84";"Belgium";"2020-04-03";"2020";"14";49;24;0;73;"Belgium";"AgeGender"
"172";"25";"44";"Belgium";"2020-04-03";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"173";"45";"64";"Belgium";"2020-04-03";"2020";"14";9;2;0;11;"Belgium";"AgeGender"
"174";"0";"24";"Belgium";"2020-04-03";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"175";NA;NA;"Belgium";"2020-04-03";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"176";"80";NA;"Belgium";"2020-04-04";"2020";"14";56;82;2;140;"Belgium";"AgeGender"
"177";"65";"74";"Belgium";"2020-04-04";"2020";"14";11;11;0;22;"Belgium";"AgeGender"
"178";"75";"84";"Belgium";"2020-04-04";"2020";"14";54;38;0;92;"Belgium";"AgeGender"
"179";"25";"44";"Belgium";"2020-04-04";"2020";"14";1;0;0;1;"Belgium";"AgeGender"
"180";"45";"64";"Belgium";"2020-04-04";"2020";"14";9;3;0;12;"Belgium";"AgeGender"
"181";"0";"24";"Belgium";"2020-04-04";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"182";NA;NA;"Belgium";"2020-04-04";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"183";"80";NA;"Belgium";"2020-04-05";"2020";"14";56;74;0;130;"Belgium";"AgeGender"
"184";"65";"74";"Belgium";"2020-04-05";"2020";"14";24;13;0;37;"Belgium";"AgeGender"
"185";"75";"84";"Belgium";"2020-04-05";"2020";"14";37;30;0;67;"Belgium";"AgeGender"
"186";"25";"44";"Belgium";"2020-04-05";"2020";"14";2;1;0;3;"Belgium";"AgeGender"
"187";"45";"64";"Belgium";"2020-04-05";"2020";"14";10;1;0;11;"Belgium";"AgeGender"
"188";"0";"24";"Belgium";"2020-04-05";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"189";NA;NA;"Belgium";"2020-04-05";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"190";"80";NA;"Belgium";"2020-04-06";"2020";"15";61;83;0;144;"Belgium";"AgeGender"
"191";"65";"74";"Belgium";"2020-04-06";"2020";"15";20;9;0;29;"Belgium";"AgeGender"
"192";"75";"84";"Belgium";"2020-04-06";"2020";"15";38;34;0;72;"Belgium";"AgeGender"
"193";"25";"44";"Belgium";"2020-04-06";"2020";"15";1;0;0;1;"Belgium";"AgeGender"
"194";"45";"64";"Belgium";"2020-04-06";"2020";"15";5;5;0;10;"Belgium";"AgeGender"
"195";"0";"24";"Belgium";"2020-04-06";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
"196";NA;NA;"Belgium";"2020-04-06";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
"197";"80";NA;"Belgium";"2020-04-07";"2020";"15";50;94;0;144;"Belgium";"AgeGender"
"198";"65";"74";"Belgium";"2020-04-07";"2020";"15";17;8;0;25;"Belgium";"AgeGender"
