"";"region";"AgeGrp_min";"AgeGrp_max";"NUTS";"date";"Year";"WeekNo";"male_covid_death";"female_covid_death";"NC_covid_death";"total_covid_death";"country";"type"
"94";"Brussels";"75";"84";"Belgium";"2020-03-23";"2020";"13";2;0;0;2;"Belgium";"AgeGender"
"95";"Brussels";"25";"44";"Belgium";"2020-03-23";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"96";"Brussels";"45";"64";"Belgium";"2020-03-23";"2020";"13";1;0;0;1;"Belgium";"AgeGender"
"97";"Brussels";"0";"24";"Belgium";"2020-03-23";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"98";"Brussels";NA;NA;"Belgium";"2020-03-23";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"99";"Brussels";"80";NA;"Belgium";"2020-03-24";"2020";"13";2;3;0;5;"Belgium";"AgeGender"
"100";"Brussels";"65";"74";"Belgium";"2020-03-24";"2020";"13";0;1;0;1;"Belgium";"AgeGender"
"101";"Brussels";"75";"84";"Belgium";"2020-03-24";"2020";"13";2;1;0;3;"Belgium";"AgeGender"
"102";"Brussels";"25";"44";"Belgium";"2020-03-24";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"103";"Brussels";"45";"64";"Belgium";"2020-03-24";"2020";"13";1;0;0;1;"Belgium";"AgeGender"
"104";"Brussels";"0";"24";"Belgium";"2020-03-24";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"105";"Brussels";NA;NA;"Belgium";"2020-03-24";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"106";"Brussels";"80";NA;"Belgium";"2020-03-25";"2020";"13";2;5;0;7;"Belgium";"AgeGender"
"107";"Brussels";"65";"74";"Belgium";"2020-03-25";"2020";"13";2;2;0;4;"Belgium";"AgeGender"
"108";"Brussels";"75";"84";"Belgium";"2020-03-25";"2020";"13";2;2;0;4;"Belgium";"AgeGender"
"109";"Brussels";"25";"44";"Belgium";"2020-03-25";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"110";"Brussels";"45";"64";"Belgium";"2020-03-25";"2020";"13";1;0;0;1;"Belgium";"AgeGender"
"111";"Brussels";"0";"24";"Belgium";"2020-03-25";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"112";"Brussels";NA;NA;"Belgium";"2020-03-25";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"113";"Brussels";"80";NA;"Belgium";"2020-03-26";"2020";"13";3;3;0;6;"Belgium";"AgeGender"
"114";"Brussels";"65";"74";"Belgium";"2020-03-26";"2020";"13";2;0;0;2;"Belgium";"AgeGender"
"115";"Brussels";"75";"84";"Belgium";"2020-03-26";"2020";"13";5;2;0;7;"Belgium";"AgeGender"
"116";"Brussels";"25";"44";"Belgium";"2020-03-26";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"117";"Brussels";"45";"64";"Belgium";"2020-03-26";"2020";"13";4;0;0;4;"Belgium";"AgeGender"
"118";"Brussels";"0";"24";"Belgium";"2020-03-26";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"119";"Brussels";NA;NA;"Belgium";"2020-03-26";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"120";"Brussels";"80";NA;"Belgium";"2020-03-27";"2020";"13";2;5;0;7;"Belgium";"AgeGender"
"121";"Brussels";"65";"74";"Belgium";"2020-03-27";"2020";"13";3;3;0;6;"Belgium";"AgeGender"
"122";"Brussels";"75";"84";"Belgium";"2020-03-27";"2020";"13";3;0;0;3;"Belgium";"AgeGender"
"123";"Brussels";"25";"44";"Belgium";"2020-03-27";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"124";"Brussels";"45";"64";"Belgium";"2020-03-27";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"125";"Brussels";"0";"24";"Belgium";"2020-03-27";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"126";"Brussels";NA;NA;"Belgium";"2020-03-27";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"127";"Brussels";"80";NA;"Belgium";"2020-03-28";"2020";"13";4;8;0;12;"Belgium";"AgeGender"
"128";"Brussels";"65";"74";"Belgium";"2020-03-28";"2020";"13";2;2;0;4;"Belgium";"AgeGender"
"129";"Brussels";"75";"84";"Belgium";"2020-03-28";"2020";"13";2;8;0;10;"Belgium";"AgeGender"
"130";"Brussels";"25";"44";"Belgium";"2020-03-28";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"131";"Brussels";"45";"64";"Belgium";"2020-03-28";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"132";"Brussels";"0";"24";"Belgium";"2020-03-28";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"133";"Brussels";NA;NA;"Belgium";"2020-03-28";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"134";"Brussels";"80";NA;"Belgium";"2020-03-29";"2020";"13";4;5;0;9;"Belgium";"AgeGender"
"135";"Brussels";"65";"74";"Belgium";"2020-03-29";"2020";"13";1;2;0;3;"Belgium";"AgeGender"
"136";"Brussels";"75";"84";"Belgium";"2020-03-29";"2020";"13";4;7;0;11;"Belgium";"AgeGender"
"137";"Brussels";"25";"44";"Belgium";"2020-03-29";"2020";"13";0;1;0;1;"Belgium";"AgeGender"
"138";"Brussels";"45";"64";"Belgium";"2020-03-29";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"139";"Brussels";"0";"24";"Belgium";"2020-03-29";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"140";"Brussels";NA;NA;"Belgium";"2020-03-29";"2020";"13";0;0;0;0;"Belgium";"AgeGender"
"141";"Brussels";"80";NA;"Belgium";"2020-03-30";"2020";"14";9;5;0;14;"Belgium";"AgeGender"
"142";"Brussels";"65";"74";"Belgium";"2020-03-30";"2020";"14";2;2;0;4;"Belgium";"AgeGender"
"143";"Brussels";"75";"84";"Belgium";"2020-03-30";"2020";"14";7;4;0;11;"Belgium";"AgeGender"
"144";"Brussels";"25";"44";"Belgium";"2020-03-30";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"145";"Brussels";"45";"64";"Belgium";"2020-03-30";"2020";"14";0;1;0;1;"Belgium";"AgeGender"
"146";"Brussels";"0";"24";"Belgium";"2020-03-30";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"147";"Brussels";NA;NA;"Belgium";"2020-03-30";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"148";"Brussels";"80";NA;"Belgium";"2020-03-31";"2020";"14";6;8;0;14;"Belgium";"AgeGender"
"149";"Brussels";"65";"74";"Belgium";"2020-03-31";"2020";"14";3;2;0;5;"Belgium";"AgeGender"
"150";"Brussels";"75";"84";"Belgium";"2020-03-31";"2020";"14";7;2;0;9;"Belgium";"AgeGender"
"151";"Brussels";"25";"44";"Belgium";"2020-03-31";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"152";"Brussels";"45";"64";"Belgium";"2020-03-31";"2020";"14";2;2;0;4;"Belgium";"AgeGender"
"153";"Brussels";"0";"24";"Belgium";"2020-03-31";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"154";"Brussels";NA;NA;"Belgium";"2020-03-31";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"155";"Brussels";"80";NA;"Belgium";"2020-04-01";"2020";"14";6;10;0;16;"Belgium";"AgeGender"
"156";"Brussels";"65";"74";"Belgium";"2020-04-01";"2020";"14";4;1;0;5;"Belgium";"AgeGender"
"157";"Brussels";"75";"84";"Belgium";"2020-04-01";"2020";"14";4;4;0;8;"Belgium";"AgeGender"
"158";"Brussels";"25";"44";"Belgium";"2020-04-01";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"159";"Brussels";"45";"64";"Belgium";"2020-04-01";"2020";"14";1;2;0;3;"Belgium";"AgeGender"
"160";"Brussels";"0";"24";"Belgium";"2020-04-01";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"161";"Brussels";NA;NA;"Belgium";"2020-04-01";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"162";"Brussels";"80";NA;"Belgium";"2020-04-02";"2020";"14";9;10;0;19;"Belgium";"AgeGender"
"163";"Brussels";"65";"74";"Belgium";"2020-04-02";"2020";"14";1;2;0;3;"Belgium";"AgeGender"
"164";"Brussels";"75";"84";"Belgium";"2020-04-02";"2020";"14";6;8;0;14;"Belgium";"AgeGender"
"165";"Brussels";"25";"44";"Belgium";"2020-04-02";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"166";"Brussels";"45";"64";"Belgium";"2020-04-02";"2020";"14";3;1;0;4;"Belgium";"AgeGender"
"167";"Brussels";"0";"24";"Belgium";"2020-04-02";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"168";"Brussels";NA;NA;"Belgium";"2020-04-02";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"169";"Brussels";"80";NA;"Belgium";"2020-04-03";"2020";"14";5;8;0;13;"Belgium";"AgeGender"
"170";"Brussels";"65";"74";"Belgium";"2020-04-03";"2020";"14";3;1;0;4;"Belgium";"AgeGender"
"171";"Brussels";"75";"84";"Belgium";"2020-04-03";"2020";"14";6;3;0;9;"Belgium";"AgeGender"
"172";"Brussels";"25";"44";"Belgium";"2020-04-03";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"173";"Brussels";"45";"64";"Belgium";"2020-04-03";"2020";"14";2;2;0;4;"Belgium";"AgeGender"
"174";"Brussels";"0";"24";"Belgium";"2020-04-03";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"175";"Brussels";NA;NA;"Belgium";"2020-04-03";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"176";"Brussels";"80";NA;"Belgium";"2020-04-04";"2020";"14";12;17;2;31;"Belgium";"AgeGender"
"177";"Brussels";"65";"74";"Belgium";"2020-04-04";"2020";"14";2;3;0;5;"Belgium";"AgeGender"
"178";"Brussels";"75";"84";"Belgium";"2020-04-04";"2020";"14";13;6;0;19;"Belgium";"AgeGender"
"179";"Brussels";"25";"44";"Belgium";"2020-04-04";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"180";"Brussels";"45";"64";"Belgium";"2020-04-04";"2020";"14";2;0;0;2;"Belgium";"AgeGender"
"181";"Brussels";"0";"24";"Belgium";"2020-04-04";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"182";"Brussels";NA;NA;"Belgium";"2020-04-04";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"183";"Brussels";"80";NA;"Belgium";"2020-04-05";"2020";"14";2;12;0;14;"Belgium";"AgeGender"
"184";"Brussels";"65";"74";"Belgium";"2020-04-05";"2020";"14";2;2;0;4;"Belgium";"AgeGender"
"185";"Brussels";"75";"84";"Belgium";"2020-04-05";"2020";"14";9;5;0;14;"Belgium";"AgeGender"
"186";"Brussels";"25";"44";"Belgium";"2020-04-05";"2020";"14";2;0;0;2;"Belgium";"AgeGender"
"187";"Brussels";"45";"64";"Belgium";"2020-04-05";"2020";"14";3;1;0;4;"Belgium";"AgeGender"
"188";"Brussels";"0";"24";"Belgium";"2020-04-05";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"189";"Brussels";NA;NA;"Belgium";"2020-04-05";"2020";"14";0;0;0;0;"Belgium";"AgeGender"
"190";"Brussels";"80";NA;"Belgium";"2020-04-06";"2020";"15";9;10;0;19;"Belgium";"AgeGender"
"191";"Brussels";"65";"74";"Belgium";"2020-04-06";"2020";"15";4;2;0;6;"Belgium";"AgeGender"
"192";"Brussels";"75";"84";"Belgium";"2020-04-06";"2020";"15";10;7;0;17;"Belgium";"AgeGender"
"193";"Brussels";"25";"44";"Belgium";"2020-04-06";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
"194";"Brussels";"45";"64";"Belgium";"2020-04-06";"2020";"15";3;2;0;5;"Belgium";"AgeGender"
"195";"Brussels";"0";"24";"Belgium";"2020-04-06";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
"196";"Brussels";NA;NA;"Belgium";"2020-04-06";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
"197";"Brussels";"80";NA;"Belgium";"2020-04-07";"2020";"15";7;9;0;16;"Belgium";"AgeGender"
"198";"Brussels";"65";"74";"Belgium";"2020-04-07";"2020";"15";4;3;0;7;"Belgium";"AgeGender"
"199";"Brussels";"75";"84";"Belgium";"2020-04-07";"2020";"15";11;8;0;19;"Belgium";"AgeGender"
"200";"Brussels";"25";"44";"Belgium";"2020-04-07";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
"201";"Brussels";"45";"64";"Belgium";"2020-04-07";"2020";"15";3;1;0;4;"Belgium";"AgeGender"
"202";"Brussels";"0";"24";"Belgium";"2020-04-07";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
"203";"Brussels";NA;NA;"Belgium";"2020-04-07";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
"204";"Brussels";"80";NA;"Belgium";"2020-04-08";"2020";"15";9;20;0;29;"Belgium";"AgeGender"
"205";"Brussels";"65";"74";"Belgium";"2020-04-08";"2020";"15";2;2;0;4;"Belgium";"AgeGender"
"206";"Brussels";"75";"84";"Belgium";"2020-04-08";"2020";"15";12;8;0;20;"Belgium";"AgeGender"
"207";"Brussels";"25";"44";"Belgium";"2020-04-08";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
"208";"Brussels";"45";"64";"Belgium";"2020-04-08";"2020";"15";0;1;0;1;"Belgium";"AgeGender"
"209";"Brussels";"0";"24";"Belgium";"2020-04-08";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
"210";"Brussels";NA;NA;"Belgium";"2020-04-08";"2020";"15";0;0;0;0;"Belgium";"AgeGender"
