"";"AgeGrp_min";"AgeGrp_max";"NUTS";"date";"Year";"WeekNo";"male_covid_death";"female_covid_death";"NC_covid_death";"total_covid_death";"country";"type"
"88";"70";"79";"Spain";"2020-01-09";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"89";"80";NA;"Spain";"2020-01-09";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"90";NA;NA;"Spain";"2020-01-09";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"91";"0";"9";"Spain";"2020-01-10";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"92";"10";"19";"Spain";"2020-01-10";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"93";"20";"29";"Spain";"2020-01-10";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"94";"30";"39";"Spain";"2020-01-10";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"95";"40";"49";"Spain";"2020-01-10";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"96";"50";"59";"Spain";"2020-01-10";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"97";"60";"69";"Spain";"2020-01-10";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"98";"70";"79";"Spain";"2020-01-10";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"99";"80";NA;"Spain";"2020-01-10";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"100";NA;NA;"Spain";"2020-01-10";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"101";"0";"9";"Spain";"2020-01-11";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"102";"10";"19";"Spain";"2020-01-11";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"103";"20";"29";"Spain";"2020-01-11";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"104";"30";"39";"Spain";"2020-01-11";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"105";"40";"49";"Spain";"2020-01-11";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"106";"50";"59";"Spain";"2020-01-11";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"107";"60";"69";"Spain";"2020-01-11";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"108";"70";"79";"Spain";"2020-01-11";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"109";"80";NA;"Spain";"2020-01-11";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"110";NA;NA;"Spain";"2020-01-11";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"111";"0";"9";"Spain";"2020-01-12";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"112";"10";"19";"Spain";"2020-01-12";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"113";"20";"29";"Spain";"2020-01-12";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"114";"30";"39";"Spain";"2020-01-12";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"115";"40";"49";"Spain";"2020-01-12";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"116";"50";"59";"Spain";"2020-01-12";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"117";"60";"69";"Spain";"2020-01-12";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"118";"70";"79";"Spain";"2020-01-12";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"119";"80";NA;"Spain";"2020-01-12";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"120";NA;NA;"Spain";"2020-01-12";"2020";"02";0;0;0;0;"Spain";"AgeGender"
"121";"0";"9";"Spain";"2020-01-13";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"122";"10";"19";"Spain";"2020-01-13";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"123";"20";"29";"Spain";"2020-01-13";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"124";"30";"39";"Spain";"2020-01-13";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"125";"40";"49";"Spain";"2020-01-13";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"126";"50";"59";"Spain";"2020-01-13";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"127";"60";"69";"Spain";"2020-01-13";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"128";"70";"79";"Spain";"2020-01-13";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"129";"80";NA;"Spain";"2020-01-13";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"130";NA;NA;"Spain";"2020-01-13";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"131";"0";"9";"Spain";"2020-01-14";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"132";"10";"19";"Spain";"2020-01-14";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"133";"20";"29";"Spain";"2020-01-14";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"134";"30";"39";"Spain";"2020-01-14";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"135";"40";"49";"Spain";"2020-01-14";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"136";"50";"59";"Spain";"2020-01-14";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"137";"60";"69";"Spain";"2020-01-14";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"138";"70";"79";"Spain";"2020-01-14";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"139";"80";NA;"Spain";"2020-01-14";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"140";NA;NA;"Spain";"2020-01-14";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"141";"0";"9";"Spain";"2020-01-15";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"142";"10";"19";"Spain";"2020-01-15";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"143";"20";"29";"Spain";"2020-01-15";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"144";"30";"39";"Spain";"2020-01-15";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"145";"40";"49";"Spain";"2020-01-15";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"146";"50";"59";"Spain";"2020-01-15";"2020";"03";0;0;0;0;"Spain";"AgeGender"
"147";"60";"69";"Spain";"2020-01-15";"2020";"03";0;0;0;0;"Spain";"AgeGender"
