"TIME","GEO","SEX","UNIT","Value","Flag and Footnotes"
"2000W24","United Kingdom","Total","Number",":",""
"2000W25","Belgium","Total","Number","2 026",""
"2000W25","Denmark","Total","Number",":",""
"2000W25","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W25","Spain","Total","Number","6 324",""
"2000W25","Italy","Total","Number",":",""
"2000W25","Sweden","Total","Number","1 725",""
"2000W25","Switzerland","Total","Number","1 088",""
"2000W25","United Kingdom","Total","Number",":",""
"2000W26","Belgium","Total","Number","1 919",""
"2000W26","Denmark","Total","Number",":",""
"2000W26","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W26","Spain","Total","Number","6 309",""
"2000W26","Italy","Total","Number",":",""
"2000W26","Sweden","Total","Number","1 609",""
"2000W26","Switzerland","Total","Number","1 133",""
"2000W26","United Kingdom","Total","Number",":",""
"2000W27","Belgium","Total","Number","1 922",""
"2000W27","Denmark","Total","Number",":",""
"2000W27","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W27","Spain","Total","Number","6 385",""
"2000W27","Italy","Total","Number",":",""
"2000W27","Sweden","Total","Number","1 690",""
"2000W27","Switzerland","Total","Number","1 088",""
"2000W27","United Kingdom","Total","Number",":",""
"2000W28","Belgium","Total","Number","1 794",""
"2000W28","Denmark","Total","Number",":",""
"2000W28","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W28","Spain","Total","Number","6 071",""
"2000W28","Italy","Total","Number",":",""
"2000W28","Sweden","Total","Number","1 631",""
"2000W28","Switzerland","Total","Number","1 010",""
"2000W28","United Kingdom","Total","Number",":",""
"2000W29","Belgium","Total","Number","1 781",""
"2000W29","Denmark","Total","Number",":",""
"2000W29","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W29","Spain","Total","Number","6 359",""
"2000W29","Italy","Total","Number",":",""
"2000W29","Sweden","Total","Number","1 715",""
"2000W29","Switzerland","Total","Number","1 121",""
"2000W29","United Kingdom","Total","Number",":",""
"2000W30","Belgium","Total","Number","1 901",""
"2000W30","Denmark","Total","Number",":",""
"2000W30","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W30","Spain","Total","Number","6 152",""
"2000W30","Italy","Total","Number",":",""
"2000W30","Sweden","Total","Number","1 652",""
"2000W30","Switzerland","Total","Number","1 088",""
"2000W30","United Kingdom","Total","Number",":",""
"2000W31","Belgium","Total","Number","1 871",""
"2000W31","Denmark","Total","Number",":",""
"2000W31","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W31","Spain","Total","Number","6 355",""
"2000W31","Italy","Total","Number",":",""
"2000W31","Sweden","Total","Number","1 620",""
"2000W31","Switzerland","Total","Number","1 079",""
"2000W31","United Kingdom","Total","Number",":",""
"2000W32","Belgium","Total","Number","1 927",""
"2000W32","Denmark","Total","Number",":",""
"2000W32","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W32","Spain","Total","Number","6 200",""
"2000W32","Italy","Total","Number",":",""
"2000W32","Sweden","Total","Number","1 617",""
"2000W32","Switzerland","Total","Number","1 098",""
"2000W32","United Kingdom","Total","Number",":",""
"2000W33","Belgium","Total","Number","1 904",""
"2000W33","Denmark","Total","Number",":",""
"2000W33","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W33","Spain","Total","Number","6 489",""
"2000W33","Italy","Total","Number",":",""
"2000W33","Sweden","Total","Number","1 689",""
"2000W33","Switzerland","Total","Number","1 178",""
"2000W33","United Kingdom","Total","Number",":",""
"2000W34","Belgium","Total","Number","1 846",""
"2000W34","Denmark","Total","Number",":",""
"2000W34","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W34","Spain","Total","Number","6 119",""
"2000W34","Italy","Total","Number",":",""
"2000W34","Sweden","Total","Number","1 539",""
"2000W34","Switzerland","Total","Number","1 062",""
"2000W34","United Kingdom","Total","Number",":",""
"2000W35","Belgium","Total","Number","1 671",""
"2000W35","Denmark","Total","Number",":",""
"2000W35","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W35","Spain","Total","Number","6 056",""
"2000W35","Italy","Total","Number",":",""
"2000W35","Sweden","Total","Number","1 665",""
"2000W35","Switzerland","Total","Number","1 031",""
"2000W35","United Kingdom","Total","Number",":",""
"2000W36","Belgium","Total","Number","1 811",""
"2000W36","Denmark","Total","Number",":",""
"2000W36","Germany (until 1990 former territory of the FRG)","Total","Number",":",""
"2000W36","Spain","Total","Number","5 964",""
"2000W36","Italy","Total","Number",":",""
"2000W36","Sweden","Total","Number","1 673",""
"2000W36","Switzerland","Total","Number","1 053",""
